index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
559,Transpose,32,384,4,1,1,1,32,4,384,0
560,FullyConnected,128,1,1,1,1,1,128,1,1,16384
561,Reshape,128,1,1,1,1,1,32,384,4,0
562,Transpose,32,384,4,1,1,1,32,4,384,0
563,Transpose,32,4,384,1,1,1,384,4,32,0
564,Reshape,32,4,384,1,1,1,32,4,384,0
565,OP_49,1,1,1,1,1,1,32,1,384,0
566,Reshape,384,4,32,1,1,1,384,4,32,0
567,OP_49,1,1,1,1,1,1,384,1,32,0
568,Reshape,384,1,32,1,1,1,384,1,1,0
569,Reshape,384,1,32,1,1,1,384,1,1,0
570,Reshape,384,1,32,1,1,1,384,1,1,0
571,Reshape,384,1,32,1,1,1,384,1,1,0
572,Transpose,384,1,1,1,1,1,32,1,1,0
573,FullyConnected,32,1,384,1,1,1,384,1,1,12288
574,Transpose,384,1,1,1,1,1,32,1,1,0
575,FullyConnected,32,1,384,1,1,1,384,1,1,12288
576,Transpose,384,1,1,1,1,1,32,1,1,0
577,FullyConnected,32,1,384,1,1,1,384,1,1,12288
578,Transpose,384,1,1,1,1,1,32,1,1,0
579,FullyConnected,32,1,384,1,1,1,384,1,1,12288
580,OP_83,384,1,1,1,1,1,384,4,384,0
581,Mul,384,4,384,1,1,1,384,4,384,0
582,Reshape,384,4,384,1,1,1,384,4,384,0
583,Mul,384,4,384,1,1,1,384,4,384,0
584,Add,384,4,384,1,1,1,384,4,384,0
585,Softmax,384,4,384,1,1,1,384,4,384,0
586,Reshape,384,4,384,1,1,1,384,4,384,0
587,OP_49,1,1,1,1,1,1,384,1,384,0
588,Reshape,32,4,384,1,1,1,32,4,384,0
589,OP_49,1,1,1,1,1,1,32,1,384,0
590,Reshape,32,1,384,1,1,1,32,1,1,0
591,Reshape,32,1,384,1,1,1,32,1,1,0
592,Reshape,32,1,384,1,1,1,32,1,1,0
593,Reshape,32,1,384,1,1,1,32,1,1,0
594,Transpose,32,1,1,1,1,1,384,1,1,0
595,FullyConnected,384,1,384,1,1,1,32,1,1,12288
596,Transpose,32,1,1,1,1,1,384,1,1,0
597,FullyConnected,384,1,384,1,1,1,32,1,1,12288
598,Transpose,32,1,1,1,1,1,384,1,1,0
599,FullyConnected,384,1,384,1,1,1,32,1,1,12288
600,Transpose,32,1,1,1,1,1,384,1,1,0
601,FullyConnected,384,1,384,1,1,1,32,1,1,12288
602,OP_83,32,1,1,1,1,1,32,4,384,0
603,Reshape,32,4,384,1,1,1,32,4,384,0
604,Transpose,32,4,384,1,1,1,32,384,4,0
605,Reshape,32,384,4,1,1,1,128,1,1,0
606,FullyConnected,128,1,1,1,1,1,128,1,1,16384
607,FullyConnected,512,1,384,1,1,1,128,1,1,65536
608,Add,128,1,1,1,1,1,128,1,1,0
609,Reshape,128,1,1,1,1,1,128,1,384,0
610,Add,128,1,384,1,1,1,128,1,384,0
611,FullyConnected,128,1,384,1,1,1,512,1,1,65536
612,FullyConnected,512,1,384,1,1,1,128,1,1,65536
613,Shortcut,128,1,384,1,0,0,128,1,384,49152
614,Add,128,1,384,1,1,1,128,1,384,0
615,FullyConnected,128,1,384,1,1,1,512,1,1,65536
616,FullyConnected,512,1,384,1,1,1,128,1,1,65536
617,Shortcut,128,1,384,1,0,0,128,1,384,49152
618,Add,128,1,384,1,1,1,128,1,384,0
619,FullyConnected,128,1,384,1,1,1,512,1,1,65536
620,FullyConnected,512,1,384,1,1,1,128,1,1,65536
621,Shortcut,128,1,384,1,0,0,128,1,384,49152
622,Add,128,1,384,1,1,1,128,1,384,0
623,FullyConnected,128,1,384,1,1,1,512,1,1,65536
624,FullyConnected,512,1,384,1,1,1,128,1,1,65536
625,Shortcut,128,1,384,1,0,0,128,1,384,49152
626,FullyConnected,128,1,384,1,1,1,512,1,1,65536
627,Shortcut,512,1,384,1,0,0,512,1,384,196608
628,Add,512,1,384,1,1,1,512,1,384,0
629,FullyConnected,512,1,384,1,1,1,128,1,1,65536
630,Reshape,128,1,1,1,1,1,32,384,4,0
631,Transpose,32,384,4,1,1,1,32,4,384,0
632,FullyConnected,512,1,384,1,1,1,128,1,1,65536
633,FullyConnected,128,1,1,1,1,1,128,1,1,16384
