index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
278,Shortcut,160,24,24,1,0,0,160,24,24,92160
279,Conv2D,160,24,24,1,1,1,960,24,24,88473600
280,Sigmoid,960,24,24,1,1,1,960,24,24,0
281,Mul,960,24,24,1,1,1,960,24,24,0
282,DepthwiseConv2D,960,24,24,1,5,5,960,24,24,13824000
283,Sigmoid,960,24,24,1,1,1,960,24,24,0
284,Mul,960,24,24,1,1,1,960,24,24,0
285,Mean,960,24,24,1,1,1,960,1,1,0
286,Conv2D,960,1,1,1,1,1,40,1,1,38400
287,Sigmoid,40,1,1,1,1,1,40,1,1,0
288,Mul,40,1,1,1,1,1,40,1,1,0
289,Conv2D,40,1,1,1,1,1,960,1,1,38400
290,Sigmoid,960,1,1,1,1,1,960,1,1,0
291,Mul,960,1,1,1,1,1,960,24,24,0
292,Conv2D,960,24,24,1,1,1,160,24,24,88473600
293,Shortcut,160,24,24,1,0,0,160,24,24,92160
294,Conv2D,160,24,24,1,1,1,960,24,24,88473600
295,Sigmoid,960,24,24,1,1,1,960,24,24,0
296,Mul,960,24,24,1,1,1,960,24,24,0
297,DepthwiseConv2D,960,24,24,1,5,5,960,24,24,13824000
298,Sigmoid,960,24,24,1,1,1,960,24,24,0
299,Mul,960,24,24,1,1,1,960,24,24,0
300,Mean,960,24,24,1,1,1,960,1,1,0
301,Conv2D,960,1,1,1,1,1,40,1,1,38400
302,Sigmoid,40,1,1,1,1,1,40,1,1,0
303,Mul,40,1,1,1,1,1,40,1,1,0
304,Conv2D,40,1,1,1,1,1,960,1,1,38400
305,Sigmoid,960,1,1,1,1,1,960,1,1,0
306,Mul,960,1,1,1,1,1,960,24,24,0
307,Conv2D,960,24,24,1,1,1,160,24,24,88473600
308,Shortcut,160,24,24,1,0,0,160,24,24,92160
309,Conv2D,160,24,24,1,1,1,960,24,24,88473600
310,Sigmoid,960,24,24,1,1,1,960,24,24,0
311,Mul,960,24,24,1,1,1,960,24,24,0
312,DepthwiseConv2D,960,24,24,1,5,5,960,24,24,13824000
313,Sigmoid,960,24,24,1,1,1,960,24,24,0
314,Mul,960,24,24,1,1,1,960,24,24,0
315,Mean,960,24,24,1,1,1,960,1,1,0
316,Conv2D,960,1,1,1,1,1,40,1,1,38400
317,Sigmoid,40,1,1,1,1,1,40,1,1,0
318,Mul,40,1,1,1,1,1,40,1,1,0
319,Conv2D,40,1,1,1,1,1,960,1,1,38400
320,Sigmoid,960,1,1,1,1,1,960,1,1,0
321,Mul,960,1,1,1,1,1,960,24,24,0
322,Conv2D,960,24,24,1,1,1,160,24,24,88473600
323,Shortcut,160,24,24,1,0,0,160,24,24,92160
324,Conv2D,160,24,24,1,1,1,960,24,24,88473600
325,Sigmoid,960,24,24,1,1,1,960,24,24,0
326,Mul,960,24,24,1,1,1,960,24,24,0
327,DepthwiseConv2D,960,24,24,2,5,5,960,12,12,3456000
328,Sigmoid,960,12,12,1,1,1,960,12,12,0
329,Mul,960,12,12,1,1,1,960,12,12,0
330,Mean,960,12,12,1,1,1,960,1,1,0
331,Conv2D,960,1,1,1,1,1,40,1,1,38400
332,Sigmoid,40,1,1,1,1,1,40,1,1,0
333,Mul,40,1,1,1,1,1,40,1,1,0
334,Conv2D,40,1,1,1,1,1,960,1,1,38400
335,Sigmoid,960,1,1,1,1,1,960,1,1,0
336,Mul,960,1,1,1,1,1,960,12,12,0
337,Conv2D,960,12,12,1,1,1,272,12,12,37601280
338,Conv2D,272,12,12,1,1,1,1632,12,12,63922176
339,Sigmoid,1632,12,12,1,1,1,1632,12,12,0
340,Mul,1632,12,12,1,1,1,1632,12,12,0
341,DepthwiseConv2D,1632,12,12,1,5,5,1632,12,12,5875200
342,Sigmoid,1632,12,12,1,1,1,1632,12,12,0
343,Mul,1632,12,12,1,1,1,1632,12,12,0
344,Mean,1632,12,12,1,1,1,1632,1,1,0
345,Conv2D,1632,1,1,1,1,1,68,1,1,110976
346,Sigmoid,68,1,1,1,1,1,68,1,1,0
347,Mul,68,1,1,1,1,1,68,1,1,0
348,Conv2D,68,1,1,1,1,1,1632,1,1,110976
349,Sigmoid,1632,1,1,1,1,1,1632,1,1,0
350,Mul,1632,1,1,1,1,1,1632,12,12,0
351,Conv2D,1632,12,12,1,1,1,272,12,12,63922176
352,Shortcut,272,12,12,1,0,0,272,12,12,39168
353,Conv2D,272,12,12,1,1,1,1632,12,12,63922176
354,Sigmoid,1632,12,12,1,1,1,1632,12,12,0
355,Mul,1632,12,12,1,1,1,1632,12,12,0
356,DepthwiseConv2D,1632,12,12,1,5,5,1632,12,12,5875200
357,Sigmoid,1632,12,12,1,1,1,1632,12,12,0
358,Mul,1632,12,12,1,1,1,1632,12,12,0
359,Mean,1632,12,12,1,1,1,1632,1,1,0
360,Conv2D,1632,1,1,1,1,1,68,1,1,110976
361,Sigmoid,68,1,1,1,1,1,68,1,1,0
362,Mul,68,1,1,1,1,1,68,1,1,0
363,Conv2D,68,1,1,1,1,1,1632,1,1,110976
364,Sigmoid,1632,1,1,1,1,1,1632,1,1,0
365,Mul,1632,1,1,1,1,1,1632,12,12,0
366,Conv2D,1632,12,12,1,1,1,272,12,12,63922176
367,Shortcut,272,12,12,1,0,0,272,12,12,39168
368,Conv2D,272,12,12,1,1,1,1632,12,12,63922176
369,Sigmoid,1632,12,12,1,1,1,1632,12,12,0
370,Mul,1632,12,12,1,1,1,1632,12,12,0
371,DepthwiseConv2D,1632,12,12,1,5,5,1632,12,12,5875200
372,Sigmoid,1632,12,12,1,1,1,1632,12,12,0
373,Mul,1632,12,12,1,1,1,1632,12,12,0
374,Mean,1632,12,12,1,1,1,1632,1,1,0
375,Conv2D,1632,1,1,1,1,1,68,1,1,110976
376,Sigmoid,68,1,1,1,1,1,68,1,1,0
377,Mul,68,1,1,1,1,1,68,1,1,0
378,Conv2D,68,1,1,1,1,1,1632,1,1,110976
379,Sigmoid,1632,1,1,1,1,1,1632,1,1,0
380,Mul,1632,1,1,1,1,1,1632,12,12,0
381,Conv2D,1632,12,12,1,1,1,272,12,12,63922176
382,Shortcut,272,12,12,1,0,0,272,12,12,39168
383,Conv2D,272,12,12,1,1,1,1632,12,12,63922176
384,Sigmoid,1632,12,12,1,1,1,1632,12,12,0
385,Mul,1632,12,12,1,1,1,1632,12,12,0
386,DepthwiseConv2D,1632,12,12,1,5,5,1632,12,12,5875200
387,Sigmoid,1632,12,12,1,1,1,1632,12,12,0
388,Mul,1632,12,12,1,1,1,1632,12,12,0
389,Mean,1632,12,12,1,1,1,1632,1,1,0
390,Conv2D,1632,1,1,1,1,1,68,1,1,110976
