index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
899,Tanh,256,1,1,1,1,1,256,1,1,0
900,Mul,256,1,1,1,1,1,256,1,1,0
901,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
902,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
903,Add,1024,1,1,1,1,1,1024,1,1,0
904,Add,1024,1,1,1,1,1,1024,1,1,0
905,OP_49,1,1,1,1,1,1,256,1,1,0
906,Sigmoid,256,1,1,1,1,1,256,1,1,0
907,Sigmoid,256,1,1,1,1,1,256,1,1,0
908,Mul,256,1,1,1,1,1,256,1,1,0
909,Sigmoid,256,1,1,1,1,1,256,1,1,0
910,Tanh,256,1,1,1,1,1,256,1,1,0
911,Mul,256,1,1,1,1,1,256,1,1,0
912,Add,256,1,1,1,1,1,256,1,1,0
913,Tanh,256,1,1,1,1,1,256,1,1,0
914,Mul,256,1,1,1,1,1,256,1,1,0
915,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
916,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
917,Add,1024,1,1,1,1,1,1024,1,1,0
918,Add,1024,1,1,1,1,1,1024,1,1,0
919,OP_49,1,1,1,1,1,1,256,1,1,0
920,Sigmoid,256,1,1,1,1,1,256,1,1,0
921,Sigmoid,256,1,1,1,1,1,256,1,1,0
922,Mul,256,1,1,1,1,1,256,1,1,0
923,Sigmoid,256,1,1,1,1,1,256,1,1,0
924,Tanh,256,1,1,1,1,1,256,1,1,0
925,Mul,256,1,1,1,1,1,256,1,1,0
926,Add,256,1,1,1,1,1,256,1,1,0
927,Tanh,256,1,1,1,1,1,256,1,1,0
928,Mul,256,1,1,1,1,1,256,1,1,0
929,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
930,FullyConnected,512,1,1,1,1,1,1024,1,1,524288
931,Add,1024,1,1,1,1,1,1024,1,1,0
932,Add,1024,1,1,1,1,1,1024,1,1,0
933,OP_49,1,1,1,1,1,1,256,1,1,0
934,Sigmoid,256,1,1,1,1,1,256,1,1,0
935,Sigmoid,256,1,1,1,1,1,256,1,1,0
936,Mul,256,1,1,1,1,1,256,1,1,0
937,Sigmoid,256,1,1,1,1,1,256,1,1,0
938,Tanh,256,1,1,1,1,1,256,1,1,0
939,Mul,256,1,1,1,1,1,256,1,1,0
940,Add,256,1,1,1,1,1,256,1,1,0
941,Tanh,256,1,1,1,1,1,256,1,1,0
942,Mul,256,1,1,1,1,1,256,1,1,0
943,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
944,Add,1024,1,1,1,1,1,1024,1,1,0
945,Add,1024,1,1,1,1,1,1024,1,1,0
946,OP_49,1,1,1,1,1,1,256,1,1,0
947,Sigmoid,256,1,1,1,1,1,256,1,1,0
948,Sigmoid,256,1,1,1,1,1,256,1,1,0
949,Mul,256,1,1,1,1,1,256,1,1,0
950,Sigmoid,256,1,1,1,1,1,256,1,1,0
951,Tanh,256,1,1,1,1,1,256,1,1,0
952,Mul,256,1,1,1,1,1,256,1,1,0
953,Add,256,1,1,1,1,1,256,1,1,0
954,Tanh,256,1,1,1,1,1,256,1,1,0
955,Mul,256,1,1,1,1,1,256,1,1,0
956,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
957,Add,1024,1,1,1,1,1,1024,1,1,0
958,Add,1024,1,1,1,1,1,1024,1,1,0
959,OP_49,1,1,1,1,1,1,256,1,1,0
960,Sigmoid,256,1,1,1,1,1,256,1,1,0
961,Sigmoid,256,1,1,1,1,1,256,1,1,0
962,Sigmoid,256,1,1,1,1,1,256,1,1,0
963,Tanh,256,1,1,1,1,1,256,1,1,0
964,Mul,256,1,1,1,1,1,256,1,1,0
965,Mul,256,1,1,1,1,1,256,1,1,0
966,Add,256,1,1,1,1,1,256,1,1,0
967,Tanh,256,1,1,1,1,1,256,1,1,0
968,Mul,256,1,1,1,1,1,256,1,1,0
969,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
970,Add,1024,1,1,1,1,1,1024,1,1,0
