index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
102,Concat,2,1,1,1,1,1,2,1,1,0
103,Concat,2,1,1,1,1,1,4,1,1,0
104,StridedSlice,255,13,13,1,1,1,81,13,13,0
105,Sigmoid,81,13,13,1,1,1,81,13,13,0
106,StridedSlice,81,13,13,1,1,1,1,13,13,0
107,StridedSlice,81,13,13,1,1,1,80,13,13,0
108,Mul,1,13,13,1,1,1,80,13,13,0
109,Reshape,80,13,13,1,1,1,80,1,1,0
110,Concat,80,1,1,1,1,1,80,1,1,0
111,Conv2D,256,13,13,1,1,1,128,13,13,5537792
112,PReLU,128,13,13,1,1,1,128,13,13,0
113,OP_23,128,13,13,1,1,1,128,26,26,0
114,Concat,128,26,26,1,1,1,384,26,26,0
115,Conv2D,384,26,26,1,3,3,256,26,26,598081536
116,PReLU,256,26,26,1,1,1,256,26,26,0
117,Conv2D,256,26,26,1,1,1,255,26,26,44129280
118,StridedSlice,255,26,26,1,1,1,2,26,26,0
119,OP_6,2,26,26,1,1,1,2,26,26,0
120,OP_47,2,26,26,1,1,1,2,26,26,0
121,Mul,2,26,26,1,1,1,2,26,26,0
122,OP_114,2,26,26,1,1,1,2,26,26,0
123,Reshape,2,26,26,1,1,1,2,1,1,0
124,StridedSlice,255,26,26,1,1,1,81,26,26,0
125,Sigmoid,81,26,26,1,1,1,81,26,26,0
126,StridedSlice,81,26,26,1,1,1,1,26,26,0
127,StridedSlice,81,26,26,1,1,1,80,26,26,0
128,Mul,1,26,26,1,1,1,80,26,26,0
129,Reshape,80,26,26,1,1,1,80,1,1,0
130,StridedSlice,255,26,26,1,1,1,2,26,26,0
131,Sigmoid,2,26,26,1,1,1,2,26,26,0
132,Mul,2,26,26,1,1,1,2,26,26,0
133,OP_41,2,26,26,1,1,1,2,26,26,0
134,Shortcut,2,26,26,1,0,0,2,26,26,1352
135,Mul,2,26,26,1,1,1,2,26,26,0
136,Reshape,2,26,26,1,1,1,2,1,1,0
137,StridedSlice,255,26,26,1,1,1,2,26,26,0
138,OP_6,2,26,26,1,1,1,2,26,26,0
139,OP_47,2,26,26,1,1,1,2,26,26,0
140,Mul,2,26,26,1,1,1,2,26,26,0
141,OP_114,2,26,26,1,1,1,2,26,26,0
142,Reshape,2,26,26,1,1,1,2,1,1,0
143,StridedSlice,255,26,26,1,1,1,81,26,26,0
144,Sigmoid,81,26,26,1,1,1,81,26,26,0
145,StridedSlice,81,26,26,1,1,1,1,26,26,0
146,StridedSlice,81,26,26,1,1,1,80,26,26,0
147,Mul,1,26,26,1,1,1,80,26,26,0
148,Reshape,80,26,26,1,1,1,80,1,1,0
149,StridedSlice,255,26,26,1,1,1,2,26,26,0
150,Sigmoid,2,26,26,1,1,1,2,26,26,0
151,Mul,2,26,26,1,1,1,2,26,26,0
152,OP_41,2,26,26,1,1,1,2,26,26,0
153,Shortcut,2,26,26,1,0,0,2,26,26,1352
